Reactive Agent,Reactive Agent
-1.0,-1.0
-2.0,-2.0
-3.0,-3.0
-4.0,-4.0
-5.0,-5.0
-6.0,-6.0
-7.0,-7.0
-8.0,-8.0
92.0,-9.0
91.0,-10.0
90.0,-11.0
89.0,-12.0
88.0,-13.0
87.0,-14.0
187.0,-15.0
186.0,-16.0
185.0,-17.0
184.0,-18.0
183.0,-19.0
182.0,-20.0
181.0,-21.0
180.0,-22.0
179.0,-23.0
178.0,-24.0
177.0,-25.0
176.0,-26.0
175.0,-27.0
174.0,-28.0
173.0,-29.0
172.0,-30.0
171.0,-31.0
170.0,-32.0
169.0,-33.0
168.0,-34.0
167.0,-35.0
166.0,-36.0
165.0,-37.0
164.0,-38.0
163.0,-39.0
162.0,-40.0
161.0,-41.0
160.0,-42.0
159.0,-43.0
158.0,-44.0
157.0,-45.0
156.0,-46.0
155.0,-47.0
154.0,-48.0
153.0,-49.0
152.0,-50.0
151.0,-51.0
150.0,-52.0
149.0,-53.0
148.0,-54.0
147.0,-55.0
146.0,-56.0
145.0,-57.0
144.0,-58.0
143.0,-59.0
142.0,-60.0
141.0,-61.0
140.0,-62.0
139.0,-63.0
138.0,-64.0
137.0,-65.0
136.0,-66.0
135.0,-67.0
134.0,-68.0
133.0,-69.0
132.0,-70.0
131.0,-71.0
130.0,-72.0
129.0,-73.0
128.0,-74.0
127.0,-75.0
126.0,-76.0
125.0,-77.0
124.0,-78.0
123.0,-79.0
122.0,-80.0
121.0,-81.0
120.0,-82.0
119.0,-83.0
118.0,-84.0
117.0,-85.0
116.0,-86.0
115.0,-87.0
114.0,-88.0
113.0,-89.0
112.0,-90.0
111.0,-91.0
110.0,-92.0
109.0,-93.0
108.0,-94.0
107.0,-95.0
106.0,-96.0
105.0,-97.0
104.0,-98.0
103.0,-99.0
102.0,-100.0
101.0,-101.0
100.0,-102.0
99.0,-103.0
98.0,-104.0
97.0,-105.0
96.0,-106.0
95.0,-107.0
94.0,-108.0
93.0,-109.0
92.0,-110.0
91.0,-111.0
90.0,-112.0
89.0,-113.0
88.0,-114.0
87.0,-115.0
86.0,-116.0
85.0,-117.0
84.0,-118.0
83.0,-119.0
82.0,-120.0
81.0,-121.0
80.0,-122.0
79.0,-123.0
78.0,-23.0
77.0,-24.0
76.0,-25.0
75.0,-26.0
74.0,-27.0
73.0,73.0
72.0,72.0
71.0,71.0
70.0,70.0
69.0,69.0
68.0,68.0
67.0,67.0
66.0,66.0
65.0,65.0
64.0,64.0
63.0,63.0
62.0,62.0
61.0,61.0
60.0,60.0
59.0,59.0
58.0,58.0
57.0,57.0
56.0,56.0
55.0,55.0
54.0,54.0
53.0,53.0
52.0,52.0
51.0,51.0
50.0,50.0
49.0,49.0
48.0,48.0
47.0,47.0
46.0,46.0
45.0,45.0
44.0,44.0
43.0,43.0
42.0,42.0
41.0,41.0
40.0,40.0
39.0,39.0
38.0,38.0
37.0,37.0
36.0,36.0
35.0,35.0
34.0,34.0
33.0,33.0
32.0,32.0
31.0,31.0
30.0,30.0
29.0,130.0
28.0,129.0
27.0,128.0
26.0,127.0
25.0,126.0
24.0,125.0
23.0,124.0
22.0,123.0
21.0,122.0
20.0,121.0
19.0,120.0
18.0,119.0
17.0,118.0
16.0,117.0
15.0,116.0
14.0,115.0
13.0,114.0
12.0,113.0
11.0,112.0
10.0,111.0
9.0,110.0
8.0,109.0
7.0,108.0
6.0,107.0
5.0,106.0
4.0,105.0
3.0,104.0
2.0,103.0
1.0,102.0
0.0,101.0
-1.0,100.0
-2.0,99.0
-3.0,98.0
-4.0,97.0
-5.0,96.0
-6.0,95.0
-7.0,94.0
-8.0,93.0
-9.0,92.0
-10.0,91.0
-11.0,90.0
-12.0,89.0
-13.0,88.0
-14.0,87.0
-15.0,86.0
-16.0,85.0
-17.0,84.0
-18.0,83.0
-19.0,82.0
-20.0,81.0
-21.0,80.0
-22.0,79.0
-23.0,78.0
-24.0,77.0
-25.0,76.0
-26.0,75.0
-27.0,74.0
-28.0,73.0
-29.0,72.0
-30.0,71.0
-31.0,70.0
-32.0,69.0
-33.0,68.0
-34.0,67.0
-35.0,66.0
-36.0,65.0
-37.0,64.0
-38.0,63.0
-39.0,62.0
-40.0,61.0
-41.0,60.0
-42.0,59.0
-43.0,58.0
-44.0,57.0
-45.0,56.0
-46.0,55.0
-47.0,54.0
-48.0,53.0
-49.0,52.0
-50.0,51.0
-51.0,50.0
-52.0,49.0
-53.0,48.0
-54.0,47.0
-55.0,46.0
-56.0,45.0
-57.0,44.0
-58.0,43.0
-59.0,42.0
-60.0,41.0
-61.0,40.0
-62.0,39.0
-63.0,38.0
-64.0,37.0
-65.0,36.0
-66.0,35.0
-67.0,34.0
-68.0,33.0
-69.0,32.0
-70.0,31.0
-71.0,30.0
-72.0,29.0
-73.0,28.0
-74.0,27.0
-75.0,26.0
-76.0,25.0
-77.0,24.0
-78.0,23.0
-79.0,22.0
-80.0,21.0
-81.0,20.0
-82.0,19.0
-83.0,18.0
-84.0,17.0
-85.0,16.0
-86.0,15.0
-87.0,14.0
-88.0,13.0
-89.0,12.0
-90.0,11.0
-91.0,10.0
-92.0,9.0
-93.0,8.0
-94.0,7.0
-95.0,6.0
-96.0,5.0
-97.0,4.0
-98.0,3.0
-99.0,2.0
-100.0,1.0
-101.0,0.0
-102.0,-1.0
-103.0,-2.0
-104.0,-3.0
-105.0,-4.0
-106.0,-5.0
-107.0,-6.0
-108.0,-7.0
-109.0,-8.0
-110.0,-9.0
-111.0,91.0
-112.0,90.0
-113.0,89.0
-114.0,88.0
-115.0,87.0
-116.0,86.0
-117.0,85.0
-118.0,185.0
-119.0,285.0
-120.0,284.0
-121.0,283.0
-122.0,282.0
-123.0,281.0
-124.0,280.0
-125.0,279.0
-126.0,278.0
-127.0,277.0
-128.0,276.0
-129.0,275.0
-130.0,274.0
-131.0,273.0
-132.0,272.0
-133.0,271.0
-134.0,270.0
-135.0,269.0
-136.0,268.0
-137.0,267.0
-138.0,266.0
-139.0,265.0
-140.0,264.0
-141.0,263.0
-142.0,262.0
-143.0,261.0
-144.0,260.0
-145.0,259.0
-146.0,258.0
-147.0,257.0
-148.0,256.0
-149.0,255.0
-150.0,254.0
-151.0,253.0
-152.0,252.0
-153.0,251.0
-154.0,250.0
-155.0,249.0
-156.0,248.0
-157.0,247.0
-158.0,246.0
-159.0,245.0
-160.0,244.0
-161.0,243.0
-162.0,242.0
-163.0,241.0
-164.0,240.0
-165.0,239.0
-166.0,238.0
-167.0,237.0
-168.0,236.0
-169.0,235.0
-170.0,234.0
-171.0,233.0
-172.0,232.0
-173.0,231.0
-174.0,230.0
-175.0,229.0
-176.0,228.0
-177.0,227.0
-178.0,226.0
-179.0,225.0
-180.0,224.0
-181.0,223.0
-182.0,222.0
-183.0,221.0
-184.0,220.0
-185.0,219.0
-186.0,218.0
-187.0,217.0
-188.0,216.0
-189.0,215.0
-190.0,214.0
-191.0,213.0
-192.0,212.0
-193.0,211.0
-194.0,210.0
-195.0,209.0
-196.0,208.0
-197.0,207.0
-198.0,206.0
-199.0,205.0
-200.0,204.0
-201.0,203.0
-202.0,202.0
