Deep Learning Agent (136),Deep Learning Agent (136)
100.0,0.0
99.0,0.0
199.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
198.0,0.0
197.0,0.0
196.0,0.0
195.0,0.0
194.0,0.0
193.0,0.0
192.0,0.0
192.0,0.0
191.0,0.0
190.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
189.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
188.0,0.0
187.0,0.0
186.0,0.0
185.0,0.0
184.0,0.0
183.0,0.0
182.0,0.0
181.0,0.0
180.0,0.0
179.0,0.0
178.0,0.0
177.0,0.0
176.0,0.0
175.0,0.0
174.0,0.0
173.0,0.0
172.0,0.0
171.0,0.0
170.0,0.0
169.0,0.0
168.0,0.0
168.0,0.0
168.0,0.0
167.0,0.0
166.0,0.0
165.0,0.0
164.0,0.0
163.0,0.0
162.0,0.0
161.0,0.0
160.0,0.0
159.0,0.0
158.0,0.0
157.0,0.0
157.0,0.0
157.0,0.0
157.0,0.0
157.0,0.0
157.0,0.0
157.0,0.0
257.0,0.0
257.0,0.0
257.0,0.0
257.0,0.0
357.0,0.0
357.0,0.0
457.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,0.0
456.0,-1.0
456.0,-2.0
456.0,-3.0
456.0,-4.0
456.0,-5.0
456.0,-5.0
456.0,-5.0
456.0,-5.0
456.0,-5.0
456.0,-5.0
456.0,-5.0
456.0,-6.0
456.0,-7.0
456.0,-8.0
456.0,-9.0
456.0,-10.0
456.0,-11.0
456.0,-12.0
456.0,-13.0
456.0,-14.0
456.0,-15.0
456.0,-16.0
456.0,-16.0
456.0,-16.0
456.0,-17.0
456.0,-17.0
456.0,-17.0
456.0,-18.0
456.0,-19.0
456.0,-20.0
456.0,-21.0
456.0,-22.0
456.0,-23.0
456.0,-24.0
456.0,-25.0
456.0,-26.0
456.0,-27.0
456.0,-28.0
456.0,-29.0
456.0,-30.0
456.0,-31.0
456.0,-32.0
456.0,-33.0
456.0,-34.0
456.0,-35.0
456.0,-36.0
456.0,-37.0
456.0,-38.0
456.0,-39.0
456.0,-40.0
456.0,-41.0
456.0,-42.0
456.0,-43.0
456.0,-43.0
456.0,-43.0
456.0,-43.0
456.0,-43.0
456.0,-43.0
456.0,-44.0
456.0,-45.0
456.0,-46.0
456.0,-47.0
456.0,-48.0
456.0,-49.0
456.0,-50.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
456.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-51.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-52.0
455.0,-53.0
455.0,-54.0
455.0,-55.0
455.0,-56.0
455.0,-57.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-58.0
455.0,-59.0
455.0,-60.0
455.0,-61.0
455.0,-62.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-63.0
455.0,-64.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
455.0,-65.0
